127.0.0.1 - - [14/Jul/2025:10:46:33 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [14/Jul/2025:10:46:34 +0900] "GET /JQUERY01/28_slideEffect.html HTTP/1.1" 200 1243
0:0:0:0:0:0:0:1 - - [14/Jul/2025:10:46:34 +0900] "GET /JQUERY01/jquery-3.6.0.min.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [14/Jul/2025:10:46:34 +0900] "GET /JQUERY01/image/black.png HTTP/1.1" 200 53392
0:0:0:0:0:0:0:1 - - [14/Jul/2025:10:46:34 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [14/Jul/2025:10:46:41 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [14/Jul/2025:10:48:33 +0900] "GET /JQUERY01/28_slideEffect.html HTTP/1.1" 200 1546
0:0:0:0:0:0:0:1 - - [14/Jul/2025:10:48:33 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [14/Jul/2025:10:48:33 +0900] "GET /JQUERY01/jquery-3.6.0.min.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [14/Jul/2025:10:48:33 +0900] "GET /JQUERY01/28_slideEffect.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2025:10:48:33 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [14/Jul/2025:10:48:33 +0900] "GET /JQUERY01/jquery-3.6.0.min.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [14/Jul/2025:10:48:33 +0900] "GET /JQUERY01/28_slideEffect.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2025:10:48:33 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [14/Jul/2025:10:48:33 +0900] "GET /JQUERY01/jquery-3.6.0.min.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [14/Jul/2025:11:08:59 +0900] "GET /JQUERY01/28_slideEffect.html HTTP/1.1" 200 1559
